num_procesos,tiempo,puntaje,param_num_particulas,param_w,param_c1,param_c2
1,60.3076,961.7151823874294,20,0.4,1.0,0.5
2,29.9374,961.7151682000806,50,0.4,1.0,0.5
4,14.8907,961.7153170494521,40,0.6,1.0,2.0
6,10.243,961.7155031670067,50,0.8,1.5,0.5
8,7.8258,961.7151717618991,20,0.8,1.0,1.5
12,6.4829,961.7151688189795,50,0.4,1.5,2.0
16,5.6995,961.7151824164135,20,0.8,2.0,0.5
20,5.4273,961.7152333057455,10,0.4,1.0,0.5
24,5.4729,961.716441729528,40,0.8,2.0,1.5
28,5.4913,961.7157077490912,10,0.4,2.0,0.5
